scorer,,,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva,Yuva
bodyparts,,,White,White,Pink,Pink,Yellow,Yellow,Orange,Orange,Green,Green,Blue,Blue,Red,Red
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,7Bugs2SegmentsTrial01,img006.png,609.3751645121165,1011.0163537663204,637.2421187121438,1061.6676101424707,588.6940286907126,996.6447170090736,544.5275352416127,1009.964770588961,586.5908623359935,1061.8428740053641,638.2937018895034,1032.3985450392975,582.9103212152352,1024.3364073462078
labeled-data,7Bugs2SegmentsTrial01,img009.png,621.9941626404308,997.8715640493264,649.6858529775649,1064.1213042229763,600.6119713674539,988.5825793159839,551.0122981686629,999.4489388153656,600.787235230347,1054.4817917638475,649.6858529775649,1038.7080441034545,595.8798470693359,1014.3463671612923
labeled-data,7Bugs2SegmentsTrial01,img035.png,626.1627986592916,910.2358746244155,724.828848147713,953.0290747627653,706.2045650310224,929.5710082417429,648.3413342791673,924.7372248374111,694.6887869207025,966.9617445752514,710.1853278345899,964.9713631734676,694.2622766203202,945.0675491556304
labeled-data,7Bugs2SegmentsTrial01,img050.png,627.4423295604383,956.7254973660779,755.9641000756153,879.9536432972775,736.1335925156562,873.1650210161938,680.687253465967,883.9699486258768,729.0250875092859,922.355875660277,749.7819221278874,922.9245560607867,735.5649121151466,901.456870941548
labeled-data,7Bugs2SegmentsTrial01,img052.png,638.889244028509,962.0213335958239,756.4703728003365,868.1458194783462,735.9978783819896,864.8759071754158,687.8022144387983,879.8037676887936,735.0026876810978,918.6162050235762,754.1956511982979,918.9005452238309,742.5377029878504,897.2906900044649
labeled-data,7Bugs2SegmentsTrial01,img155.png,608.0262533958701,645.7246200021883,724.8900757005997,647.4306959132143,692.4752928715507,630.9389642984349,602.3394493907738,686.5274734482516,641.5783970259384,680.1298189425182,622.1010933084835,659.9416647244262,606.0358719940864,672.5948036357655
labeled-data,7Bugs2SegmentsTrial01,img166.png,562.5318213550995,633.0715158003461,670.0124170514201,624.6834798928289,633.4747013186762,616.1532738851845,573.1945788646551,675.864715938696,640.5832063250466,701.4553339616294,583.2886559737011,646.4355052123225,564.9487130572654,656.8139225216232
labeled-data,7Bugs2SegmentsTrial01,img192.png,469.00208324774593,699.8605019888136,533.6894788057167,600.1992617995004,484.4986241616334,630.6236632267658,503.83375777896094,717.6317645047395,535.537690107373,695.0267185844816,489.47457766609267,679.8145178708489,489.7589178663475,709.2437285972225
labeled-data,7Bugs2SegmentsTrial01,img216.png,468.60122633839075,804.4004830211718,414.66045502644516,670.9923007681716,417.46924886771905,751.1509557768346,499.35639239408897,787.449214648682,433.45776765650896,675.0974609977259,466.5151105576557,777.7264667365799,484.88030105829273,787.6652757133953
labeled-data,7Bugs2SegmentsTrial01,img229.png,485.7445453171462,846.6499463801473,387.4367608725596,739.0515361528854,416.60500460886556,822.2350460675357,497.627903876382,822.451107132249,410.12317266746425,730.8412156937771,455.27993519256006,823.9635345852427,472.13269824020347,824.8277788440962
labeled-data,7Bugs2SegmentsTrial01,img350.png,843.091731259176,922.9850517426976,832.7038919599751,812.4477874050465,819.9188589763431,808.4524645976616,785.5590828328324,814.0459165280006,778.1011469257137,920.0551483506152,804.2039226006289,843.078595594998,797.2786964011616,820.1720781659908
labeled-data,7Bugs2SegmentsTrial01,img425.png,803.1041683799502,702.2114078107187,864.3657847598531,754.9496688682004,784.992038319805,801.0290585800404,872.8891400822745,790.6412192808396,849.1835580917902,722.4543767014693,756.7584238142845,793.0384129652705,854.5106551683036,806.3561556565537
